Order_ID,Fuel_Cost,Labor_Cost,Vehicle_Maintenance,Insurance,Packaging_Cost,Technology_Platform_Fee,Other_Overhead,Total_Cost,Fuel_Cost_Percentage,Labor_Cost_Percentage,Vehicle_Maintenance_Percentage,Insurance_Percentage,Packaging_Cost_Percentage,Technology_Platform_Fee_Percentage,Other_Overhead_Percentage,Cost_Category,Primary_Cost_Driver
ORD000001,151.36,110.31,53.0,32.17,37.46,43.77,30.38,458.45,33.015596030101435,24.061511615225218,11.560693641618498,7.017122914167303,8.171011015377905,9.54738793761588,6.626676845893773,Low,Fuel_Cost
ORD000002,157.32,146.2,51.61,28.54,21.74,48.64,38.74,492.79,31.92434911422715,29.667809817569346,10.473020962276019,5.791513626494043,4.411615495444306,9.870330160920474,7.86136082306865,Low,Fuel_Cost
ORD000003,322.61,319.74,128.03,58.13,102.91,92.06,55.45,1078.93,29.900920356278903,29.634916074258754,11.866386141825696,5.387745266143309,9.53815354100822,8.532527596785703,5.1393510236994056,High,Fuel_Cost
ORD000004,215.33,194.01,60.87,49.68,45.89,50.4,35.12,651.3,33.061569169353604,29.788116075541225,9.345923537540305,7.627821280515892,7.045908183632735,7.7383694150161215,5.392292338400123,Medium,Fuel_Cost
ORD000005,191.92,150.42,79.03,48.92,53.35,48.62,52.98,625.24,30.695412961422814,24.057961742690804,12.639946260635915,7.824195508924574,8.532723434201268,7.776213933849402,8.473546158275221,Medium,Fuel_Cost
ORD000006,130.04,107.92,38.85,19.95,32.06,37.26,23.24,389.32,33.40182882975444,27.720127401623344,9.978937634850508,5.124319326004315,8.234871057227988,9.570533237439637,5.969382513099763,Low,Fuel_Cost
ORD000007,158.91,121.05,56.67,29.88,40.09,49.61,32.48,488.69000000000005,32.51754691112975,24.770304282878712,11.596308498229961,6.1143055925024035,8.203564631975281,10.151629867605228,6.6463402156786495,Low,Fuel_Cost
ORD000008,280.25,239.41,117.33,55.54,50.56,69.74,61.33,874.16,32.05934840303834,27.387434794545623,13.422028004026723,6.35352795826851,5.783838198956713,7.977944541045118,7.015878100118972,Medium,Fuel_Cost
ORD000009,144.44,138.58,46.07,28.64,37.51,46.85,28.72,470.80999999999995,30.679042501221303,29.434379048873225,9.785263694483975,6.083133323421339,7.9671204944669824,9.950935621588327,6.100125315944862,Low,Fuel_Cost
ORD000010,308.43,249.95,130.74,49.87,86.21,95.72,68.28,989.2,31.17974120501415,25.267893247068336,13.216740800646987,5.041447634452082,8.715123331985442,9.676506267691062,6.902547513141933,Medium,Fuel_Cost
